Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5375002, Wayne County, MI",261635375002,589,28065.43664033,247,247,14,99.5984,0,0,0
"BG5448001, Wayne County, MI",261635448001,589,32834.235212219,198,198,0,81.3953,4.0698,0,10.4651
"BG5372001, Wayne County, MI",261635372001,587,20785.603419808,199,199,18,,0,,0
"BG5316001, Wayne County, MI",261635316001,584,24972.062048009,234,234,39,88.6486,1.6216,0,0
"BG5015002, Wayne County, MI",261635015002,582,37004.51296755,258,258,0,49.5536,0,0,0
"BG5302002, Wayne County, MI",261635302002,577,38802.254755023,487,487,95,74.5098,0,0,0
"BG5043002, Wayne County, MI",261635043002,576,30998.855636596,279,279,104,40,0,0,13.75
"BG5356002, Wayne County, MI",261635356002,576,10523.947960042,195,195,64,68.231,0,0,0
"BG5027004, Wayne County, MI",261635027004,569,21576.000018926,375,375,239,83.7438,8.867,0,0
"BG5405001, Wayne County, MI",261635405001,569,61141.382897143,267,267,3,85.1942,0,0,0
"BG5010001, Wayne County, MI",261635010001,568,20108.296752336,221,221,50,83.4746,8.4746,0,0
"BG5014003, Wayne County, MI",261635014003,567,56150.4,316,316,21,85.9031,0.4405,0,0
"BG5063001, Wayne County, MI",261635063001,566,24048.583135768,301,301,14,59.2233,36.8932,0,1.9417
"BG5378002, Wayne County, MI",261635378002,563,23551.478903062,237,237,74,56.4103,28.2051,0,0
"BG5119001, Wayne County, MI",261635119001,560,11142.503944375,647,647,259,71.9512,18.2927,0,0
"BG5362001, Wayne County, MI",261635362001,560,44511.766294217,126,126,0,80.2589,3.5599,0,0
"BG5011003, Wayne County, MI",261635011003,558,34762.366895402,246,246,48,71.1744,0,0,6.4057
"BG5315021, Wayne County, MI",261635315021,558,49078.042094176,247,247,37,,0,,0
"BG5228002, Wayne County, MI",261635228002,557,14072.85838972,329,329,101,45.6522,0,0,19.5652
"BG5234002, Wayne County, MI",261635234002,556,33736.975115719,256,256,56,80.3371,0,0,0
"BG5414001, Wayne County, MI",261635414001,553,35279.710705927,125,125,0,61.9835,9.9174,0,0
"BG5167001, Wayne County, MI",261635167001,552,16650.2,430,430,155,,0,,0
"BG5258001, Wayne County, MI",261635258001,550,34647.313247791,108,108,1,69.2308,0,0,0
"BG5356004, Wayne County, MI",261635356004,542,26036.8,392,392,96,27.2727,0,0,0
"BG5333001, Wayne County, MI",261635333001,539,56267.124977554,254,254,56,83.7004,8.37,0,0.4405
"BG5003002, Wayne County, MI",261635003002,536,34224.4,330,330,16,89.8551,4.3478,,8.6957
"BG5011002, Wayne County, MI",261635011002,536,37485,259,259,30,86.0465,0,0,0
"BG5070001, Wayne County, MI",261635070001,536,49369.733531329,166,166,21,70.297,0,0,14.8515
"BG5366001, Wayne County, MI",261635366001,533,36698.34263547,237,237,28,60.4167,0,0,0
"BG5410002, Wayne County, MI",261635410002,530,35978.456452763,268,268,38,72.5,11.25,0,0
"BG5351001, Wayne County, MI",261635351001,529,12362.18663265,154,154,94,67.1533,28.4672,0,0
"BG5361003, Wayne County, MI",261635361003,527,35676.377221118,350,350,130,70.6897,28.7356,0,0
"BG5378001, Wayne County, MI",261635378001,527,20214,266,266,98,74.4444,28.8889,,0
"BG5027001, Wayne County, MI",261635027001,525,24974.666635793,183,183,72,31.5217,35.8696,0,0
"BG5220002, Wayne County, MI",261635220002,524,22753.904604095,225,225,22,76.9231,14.6154,0,0
"BG5238001, Wayne County, MI",261635238001,522,30718.2,403,403,22,90.75,0,0,4.5
"BG5336001, Wayne County, MI",261635336001,516,23424.696253837,287,287,132,73.3333,0,0,0
"BG5006003, Wayne County, MI",261635006003,514,51726.065815041,227,227,0,,2.7431,,0
"BG5058003, Wayne County, MI",261635058003,509,23092.4394031,276,276,105,69.9187,13.8211,0,0
"BG5139001, Wayne County, MI",261635139001,509,38270.693017894,139,139,0,66.6667,0,9.3333,0
"BG5169002, Wayne County, MI",261635169002,509,27214.370616922,456,456,290,0,64.5833,0,2.0833
"BG5007003, Wayne County, MI",261635007003,508,43891.340252986,318,318,48,68.1934,3.5623,0,0
"BG5214001, Wayne County, MI",261635214001,507,64673.150068206,321,321,0,73.6655,0,0,14.2349
"BG5309001, Wayne County, MI",261635309001,507,16475,296,296,147,,12.6126,,0
"BG5341001, Wayne County, MI",261635341001,506,29391.8,197,197,57,92.3077,0,0,6.1538
"BG5364003, Wayne County, MI",261635364003,506,49260.655390904,83,83,34,58.3916,8.042,0,0
"BG5004002, Wayne County, MI",261635004002,497,42913.271484455,239,239,84,94.0959,0,0,0
"BG5319001, Wayne County, MI",261635319001,487,27348.459509689,231,231,90,55.1136,14.2045,,35.7955
"BG5407001, Wayne County, MI",261635407001,485,18316.7,205,205,45,86.0169,13.9831,0,0
"BG5005002, Wayne County, MI",261635005002,479,46443.111977977,351,351,3,88.5886,1.2012,0.3003,9.6096
"BG5090004, Wayne County, MI",261635090004,478,,247,247,64,89.781,0.7299,7.2993,0
"BG5471004, Wayne County, MI",261635471004,477,53713.674948658,245,245,2,99.6,0,0,0
"BG5034001, Wayne County, MI",261635034001,475,35818.70874054,311,311,27,92.5926,2.716,0.9877,0
"BG5041001, Wayne County, MI",261635041001,472,13973.48429454,208,208,55,96,0,0,2
"BG5090001, Wayne County, MI",261635090001,469,45753.670474325,155,155,6,,0,,0
"BG9851001, Wayne County, MI",261639851001,468,39170,83,83,46,92.6829,0,0,0
"BG5371002, Wayne County, MI",261635371002,462,26686,264,264,55,69.1729,28.5714,0,0.7519
"BG5352001, Wayne County, MI",261635352001,461,13233.879935109,334,334,61,93.4783,0,4.3478,0
"BG5342003, Wayne County, MI",261635342003,460,25113.875294723,184,184,35,99.187,0,,19.5122
"BG5377001, Wayne County, MI",261635377001,459,55601.194241906,229,229,43,83.3333,27.7778,,0
"BG5232001, Wayne County, MI",261635232001,456,41990.551356382,204,204,72,,0,,0
"BG5204002, Wayne County, MI",261635204002,446,22303.717107751,139,139,52,91.9048,0,0,0
"BG5026005, Wayne County, MI",261635026005,443,13662.146871328,160,160,4,57.6923,0,0,31.7308
"BG5331001, Wayne County, MI",261635331001,442,19686.444507094,289,289,89,100,0,0,0
"BG5193001, Wayne County, MI",261635193001,441,27302.93938827,257,257,22,89.5,0,0,0
"BG5395003, Wayne County, MI",261635395003,441,40578.708482842,270,270,111,94.6309,0,0,0
"BG5057001, Wayne County, MI",261635057001,438,26042.6,201,201,82,50,28.125,0,0
"BG5017002, Wayne County, MI",261635017002,436,31179.191813261,200,200,10,98,0,0,0
"BG5339002, Wayne County, MI",261635339002,435,30331.787725411,451,451,208,65.0602,0,0,0
"BG5433004, Wayne County, MI",261635433004,432,31088.783029481,189,189,13,74.0964,0,0,0
"BG5190002, Wayne County, MI",261635190002,429,29059.437704227,169,169,68,47.7477,12.1622,14.8649,17.5676
"BG5303002, Wayne County, MI",261635303002,429,23598.708501519,149,149,16,100,0,0,0
"BG5204001, Wayne County, MI",261635204001,425,51105.404940709,317,317,51,39.3204,16.2621,0,28.1553
"BG5264002, Wayne County, MI",261635264002,424,28409.617175886,97,97,60,70.9091,0,0,0.9091
"BG5013001, Wayne County, MI",261635013001,421,36073.41624656,121,121,2,86.9565,0,0,12.1739
"BG5152002, Wayne County, MI",261635152002,421,18791.093511912,218,218,160,0,0,0,0
"BG5204003, Wayne County, MI",261635204003,415,19895.8,234,234,186,0.4717,25.4717,0,65.0943
"BG5011004, Wayne County, MI",261635011004,414,27911.714285714,195,195,80,61.3281,5.4688,0,22.6563
"BG5190001, Wayne County, MI",261635190001,414,47031.312722177,199,199,72,57.5419,5.5866,3.352,0
"BG5370002, Wayne County, MI",261635370002,411,4462.4145637963,151,151,7,50,0,0,47.3684
"BG5452001, Wayne County, MI",261635452001,409,34682.374333016,226,226,95,61.4973,37.9679,0,0
"BG5192001, Wayne County, MI",261635192001,407,29624.497557325,168,168,39,60.1423,13.5231,0,0
"BG5411002, Wayne County, MI",261635411002,396,22981.958111737,494,494,184,92.7273,7.2727,0,0
"BG5056001, Wayne County, MI",261635056001,390,34337.625373258,218,218,51,96.4539,0,0,0
"BG5373001, Wayne County, MI",261635373001,389,52087.391658109,256,256,0,70.8333,27.7778,0,0
"BG5432003, Wayne County, MI",261635432003,387,27044.930307285,229,229,21,0,0,0,0
"BG5154001, Wayne County, MI",261635154001,384,135036.01254921,184,184,3,64.0805,0,1.4368,0
"BG5004001, Wayne County, MI",261635004001,383,21142.9,122,122,65,25,65.3846,0,0
"BG5114002, Wayne County, MI",261635114002,383,30938.979118622,224,224,105,74.7126,10.9195,0,0
"BG5004003, Wayne County, MI",261635004003,382,21100.568338208,123,123,28,76.4706,11.7647,11.7647,0
"BG5207004, Wayne County, MI",261635207004,374,64411.389588606,334,334,35,32.021,0,0,30.4462
"BG5405002, Wayne County, MI",261635405002,370,22842.536784721,209,209,56,84.7328,20.6107,,0
"BG5005001, Wayne County, MI",261635005001,368,55700.896626698,150,150,28,94.5355,2.7322,0,0
"BG5180001, Wayne County, MI",261635180001,367,112199.91270285,354,354,0,62.2378,0,0,24.1259
"BG5327001, Wayne County, MI",261635327001,366,24933.8,235,235,54,78.5714,0,0,8.3333
"BG5376002, Wayne County, MI",261635376002,366,,87,87,0,,0,,0
"BG5262002, Wayne County, MI",261635262002,365,24328.415686796,111,111,13,100,0,0,0
"BG5058004, Wayne County, MI",261635058004,360,30979.774042992,89,89,10,75.4098,20.4918,0,0
"BG5035002, Wayne County, MI",261635035002,353,37698.688526882,194,194,64,,0,,0
"BG5312001, Wayne County, MI",261635312001,350,53971.590258364,199,199,3,97.8182,5.4545,,0
"BG5317001, Wayne County, MI",261635317001,350,42762.351600894,187,187,46,70,41.5789,,0
"BG5238004, Wayne County, MI",261635238004,348,46380.582478726,132,132,0,91.4089,5.8419,2.7491,0
